restaurant_name,location,cuisines,cost_for_two,rating,cuisine_tags,quality_score
Meghana Foods,Jayanagar,"Biryani, North Indian, Chinese",,,"Biryani,North Indian,Chinese",1
Krishna Sagar,Banashankari,North Indian,,,North Indian,1
Dessert Rose,Banashankari,Desserts,,,Desserts,1
Chickpet Donne Biryani House,Banashankari,Biryani,,,Biryani,1
Me And My Cake,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
Sunsadm,Banashankari,South Indian,,,South Indian,1
Annapooraneshwari Mess,Banashankari,South Indian,,,South Indian,1
Thanco's Natural Ice Creams,Banashankari,Ice Cream,,,Ice Cream,1
Nandhini Deluxe,Banashankari,North Indian,,,North Indian,1
Vi Ra's Bar and Restaurant,Banashankari,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Kaggis,Banashankari,"Fast Food, Bakery",,,"Fast Food,Bakery",1
Ayda Persian Kitchen,Banashankari,"North Indian, Iranian",,,"North Indian,Iranian",1
Chatar Patar,Banashankari,"Fast Food, Street Food",,,"Fast Food,Street Food",1
Polar Bear,Basavanagudi,"Ice Cream, Desserts, Beverages, Sandwich",,,"Ice Cream,Desserts,Beverages,Sandwich",1
Kidambi's Kitchen,Banashankari,South Indian,,,South Indian,1
Mane Thindi,Banashankari,South Indian,,,South Indian,1
Kotian Karavali Restaurant,Banashankari,"South Indian, Biryani",,,"South Indian,Biryani",1
Floured-Baked With Love,Banashankari,Bakery,,,Bakery,1
Cakes & Slices,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
Spice 9,Banashankari,"Biryani, North Indian, Chinese, Fast Food",,,"Biryani,North Indian,Chinese,Fast Food",1
Coffee Shopee,Banashankari,Beverages,,,Beverages,1
Naveen Kabab & Biriyani Mane,Banashankari,Biryani,,,Biryani,1
Katriguppe Donne Biryani,Banashankari,North Indian,,,North Indian,1
Hari Super Sandwich,Banashankari,"Sandwich, Pizza, Beverages",,,"Sandwich,Pizza,Beverages",1
Atithi Point Ande Ka Funda,Banashankari,North Indian,,,North Indian,1
Just Bake,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
Dharwad Line Bazaar Mishra Pedha,Banashankari,Mithai,,,Mithai,1
Cake Bite,Banashankari,Bakery,,,Bakery,1
Aarush's Food Plaza,Banashankari,"North Indian, Street Food",,,"North Indian,Street Food",1
Wood Stove,Banashankari,South Indian,,,South Indian,1
Kulfi & More,Banashankari,"Ice Cream, Desserts, Juices",,,"Ice Cream,Desserts,Juices",1
Kannadigas Karavali,Banashankari,"Mangalorean, South Indian, North Indian",,,"Mangalorean,South Indian,North Indian",1
K27 - The Pub,Banashankari,"Chinese, North Indian",,,"Chinese,North Indian",1
Bengaluru Coffee House,Banashankari,"South Indian, North Indian, Chinese, Street Food",,,"South Indian,North Indian,Chinese,Street Food",1
New Mangalore Lunch Home,Banashankari,"Mangalorean, South Indian, North Indian",,,"Mangalorean,South Indian,North Indian",1
Coffee Bytes,Banashankari,"Fast Food, South Indian",,,"Fast Food,South Indian",1
Parjanya Chat Zone,Banashankari,"Street Food, Fast Food",,,"Street Food,Fast Food",1
Kwality Wall's Swirl's Happiness Station,Banashankari,"Ice Cream, Desserts",,,"Ice Cream,Desserts",1
Soms Kitchen & Bakes,Banashankari,"South Indian, North Indian, Continental",,,"South Indian,North Indian,Continental",1
Banashankari Nati Style,Banashankari,"Biryani, Chinese, South Indian, North Indian",,,"Biryani,Chinese,South Indian,North Indian",1
Ruchi Maayaka,Banashankari,South Indian,,,South Indian,1
Mohitesh Hut Roll,Banashankari,"Rolls, North Indian",,,"Rolls,North Indian",1
Sri Basaveshwar Jolada Rotti Oota,Banashankari,South Indian,,,South Indian,1
Roll Magic Fast Food,Banashankari,"Biryani, Rolls, Chinese",,,"Biryani,Rolls,Chinese",1
Foodlieious Multi Cuisine,Banashankari,North Indian,,,North Indian,1
Thanishka Nati And Karavali Style,Banashankari,"Biryani, Fast Food",,,"Biryani,Fast Food",1
Swathi Cool Point,Banashankari,"Beverages, Juices",,,"Beverages,Juices",1
Kaumudis Juoice,Banashankari,"Beverages, Fast Food, Juices",,,"Beverages,Fast Food,Juices",1
Amma - Manae,Banashankari,South Indian,,,South Indian,1
Sri Sai Tiffannies,Banashankari,"South Indian, Chinese",,,"South Indian,Chinese",1
Hotel Andhra Speices,Banashankari,Andhra,,,Andhra,1
Sri Murari Family Restaurant,Banashankari,Biryani,,,Biryani,1
Aramane Donne Biriyani,Banashankari,"South Indian, Biryani",,,"South Indian,Biryani",1
Darkolates,Banashankari,Desserts,,,Desserts,1
Swaada Healthy Kitchen,Banashankari,"Healthy Food, Juices, Sandwich",,,"Healthy Food,Juices,Sandwich",1
Gawdaru Mane Beriyani,Banashankari,"South Indian, Biryani",,,"South Indian,Biryani",1
Melting Melodies,Banashankari,"Pizza, Fast Food",,,"Pizza,Fast Food",1
New Indraprasta,Banashankari,"South Indian, Beverages",,,"South Indian,Beverages",1
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Darbar,Banashankari,"North Indian, Chinese",,,"North Indian,Chinese",1
Vijayalakshmi,Basavanagudi,South Indian,,,South Indian,1
Sri Udupi Food Hub,Jayanagar,"South Indian, North Indian, Chinese, Beverages",,,"South Indian,North Indian,Chinese,Beverages",1
Udupi Upahar,Banashankari,"South Indian, Chinese, North Indian, Juices",,,"South Indian,Chinese,North Indian,Juices",1
House Of Kebabs,Basavanagudi,"North Indian, Kebab, Biryani, Chinese",,,"North Indian,Kebab,Biryani,Chinese",1
Roll N Rock,Kumaraswamy Layout,"Chinese, North Indian, Mughlai, Rolls",,,"Chinese,North Indian,Mughlai,Rolls",1
BOX8- Desi Meals,Banashankari,"North Indian, Mughlai, Fast Food",,,"North Indian,Mughlai,Fast Food",1
KFC,Banashankari,"Burger, Fast Food",,,"Burger,Fast Food",1
Bitez,Banashankari,Fast Food,,,Fast Food,1
Roll Over,Jayanagar,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",,,"Desserts,Ice Cream,Beverages,Fast Food,Sandwich",1
Imperial Restaurant,Mysore Road,"North Indian, Chinese, Biryani, Beverages",,,"North Indian,Chinese,Biryani,Beverages",1
Lassi Shop,Kumaraswamy Layout,"Beverages, Juices, Ice Cream",,,"Beverages,Juices,Ice Cream",1
The Fortuna,Kumaraswamy Layout,"North Indian, Chinese",,,"North Indian,Chinese",1
Wahab,Jayanagar,"North Indian, Mughlai, Chinese",,,"North Indian,Mughlai,Chinese",1
Al Diwan Biryanis And More,Basavanagudi,Biryani,,,Biryani,1
New Gowda's Fried Chicken,Banashankari,Biryani,,,Biryani,1
Canton,Jayanagar,"Chinese, Seafood, Biryani",,,"Chinese,Seafood,Biryani",1
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",,,"Desserts,Mithai",1
The Blue Wagon - Kitchen,Jayanagar,"Cafe, Beverages",,,"Cafe,Beverages",1
HOT COFFEE,Basavanagudi,"South Indian, Chinese",,,"South Indian,Chinese",1
Patio 805,Jayanagar,"Thai, Vietnamese, Asian, Chinese",,,"Thai,Vietnamese,Asian,Chinese",1
Lassi Corner,Basavanagudi,"Beverages, Ice Cream",,,"Beverages,Ice Cream",1
Sagar Deluxe,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Juices",,,"South Indian,North Indian,Chinese,Juices",1
Kanti Sweets,Banashankari,"Mithai, Street Food",,,"Mithai,Street Food",1
Vegetalia,Banashankari,"Italian, Pizza",,,"Italian,Pizza",1
Aramane Donne Biryani,Banashankari,Biryani,,,Biryani,1
Ande Ka Funda,Banashankari,"North Indian, Fast Food, Rolls",,,"North Indian,Fast Food,Rolls",1
Cake Ghar,Basavanagudi,Bakery,,,Bakery,1
Energy Addaa,Basavanagudi,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",,,"Salad,Healthy Food,Sandwich,Juices,Burger,Desserts,Pizza",1
Bhattara Bhojana,Banashankari,South Indian,,,South Indian,1
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",,,"North Indian,Chinese,Biryani,Kebab",1
Dev Sagar - Food Street,Basavanagudi,Street Food,,,Street Food,1
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",,,"Fast Food,Pizza",1
Paradise Premium,Banashankari,"Biryani, Andhra, Hyderabadi, North Indian",,,"Biryani,Andhra,Hyderabadi,North Indian",1
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",,,"Cafe,Burger,Continental,Italian,Desserts",1
Shakes Theory,Jayanagar,"Beverages, Sandwich",,,"Beverages,Sandwich",1
@Italy,Kumaraswamy Layout,Italian,,,Italian,1
Chilli Flakes,Banashankari,"Fast Food, Italian, Beverages",,,"Fast Food,Italian,Beverages",1
Calcutta Cafe,Kumaraswamy Layout,"Bengali, Chinese, Sandwich",,,"Bengali,Chinese,Sandwich",1
Old Mumbai Ice Cream,Banashankari,Ice Cream,,,Ice Cream,1
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",,,"South Indian,North Indian,Chinese,Biryani",1
By 2 Coffee,Basavanagudi,South Indian,,,South Indian,1
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",,,"North Indian,Street Food,Juices",1
Davangere Butter Dosa Hotel,Kumaraswamy Layout,South Indian,,,South Indian,1
Just Shawarma,Kumaraswamy Layout,Arabian,,,Arabian,1
Mini Punjabi Dhaba,Banashankari,North Indian,,,North Indian,1
Mulabagilu Dosa,Basavanagudi,South Indian,,,South Indian,1
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",,,"North Indian,Chinese,Beverages",1
Olive - Era,Kumaraswamy Layout,"Bbq, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",,,"Bbq,Arabian,Rolls,Chinese,North Indian,Juices,Kebab,Desserts",1
Udupi Ruchi,Banashankari,"South Indian, North Indian, Chinese, Street Food",,,"South Indian,North Indian,Chinese,Street Food",1
Madhappa Hindu Military Hotel,Banashankari,South Indian,,,South Indian,1
Gama Gama,Banashankari,South Indian,,,South Indian,1
Pizza Hut,Banashankari,"Pizza, Fast Food",,,"Pizza,Fast Food",1
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",,,"Mangalorean,Seafood,Chinese,Biryani",1
Asha Sweets Centre,Basavanagudi,Fast Food,,,Fast Food,1
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",,,"Continental,Fast Food,Street Food,Momos",1
Cool Corner,Basavanagudi,"Street Food, Fast Food",,,"Street Food,Fast Food",1
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",,,"Pizza,Sandwich,Burger,Fast Food",1
Dal Tadkaa,Banashankari,North Indian,,,North Indian,1
Chutney Chang,Jayanagar,"North Indian, Chinese, Bbq",,,"North Indian,Chinese,Bbq",1
Mystique Palate,Jayanagar,"Chinese, Fast Food",,,"Chinese,Fast Food",1
Thamboola,Banashankari,"North Indian, Chinese, Continental",,,"North Indian,Chinese,Continental",1
Castle Rock,Uttarahalli,"North Indian, Chinese",,,"North Indian,Chinese",1
Vietnamese Kitchen,Banashankari,Vietnamese,,,Vietnamese,1
C Corner,Kumaraswamy Layout,"Fast Food, Street Food",,,"Fast Food,Street Food",1
Paratha Merchant,Kumaraswamy Layout,North Indian,,,North Indian,1
North Rasoe,Kumaraswamy Layout,"North Indian, Chinese, Biryani, Kebab",,,"North Indian,Chinese,Biryani,Kebab",1
Inchara Restaurant,Basavanagudi,"North Indian, Chinese",,,"North Indian,Chinese",1
Toscano,Jayanagar,"Italian, Salad",,,"Italian,Salad",1
Lord Of The Kitchen,Kumaraswamy Layout,"North Indian, Chinese",,,"North Indian,Chinese",1
Stoned Monkey,Banashankari,"Desserts, Ice Cream",,,"Desserts,Ice Cream",1
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",,,"Andhra,Seafood,North Indian,Chinese",1
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",,,"Mangalorean,Seafood,South Indian",1
Vennela Andhra Meals,Jayanagar,Andhra,,,Andhra,1
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",,,"South Indian,Biryani,Chinese,North Indian",1
The Grillo,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",,,"South Indian,Arabian,Chinese,North Indian,Seafood,Mangalorean",1
Re Malnad Nati Style Hotel,Jp Nagar,South Indian,,,South Indian,1
Karma Kaapi,Jayanagar,"Beverages, Tea",,,"Beverages,Tea",1
Tiwari's,Jayanagar,"North Indian, Street Food",,,"North Indian,Street Food",1
Pizza Stop,Basavanagudi,"Pizza, Italian",,,"Pizza,Italian",1
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",,,"Cafe,Burger,Beverages",1
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",,,"South Indian,Mangalorean",1
Sugar Stars Co,Basavanagudi,"Bakery, Desserts",,,"Bakery,Desserts",1
Bombay Kulfis,Jp Nagar,Ice Cream,,,Ice Cream,1
Kadamba Classic,Mysore Road,South Indian,,,South Indian,1
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",,,"North Indian,Chinese,South Indian,Fast Food,Juices",1
Kholi Mane,Basavanagudi,"Andhra, South Indian, Biryani, North Indian",,,"Andhra,South Indian,Biryani,North Indian",1
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",,,"Fast Food,Street Food",1
Cake Yard,Basavanagudi,Desserts,,,Desserts,1
Sri Udupi Veg,Jayanagar,South Indian,,,South Indian,1
Cake Art,Basavanagudi,Bakery,,,Bakery,1
Aahar Cafe,Basavanagudi,South Indian,,,South Indian,1
Akash Gowdru Biryani Center,Uttarahalli,"North Indian, Chinese",,,"North Indian,Chinese",1
New Sri Udupi Restaurant,Jayanagar,"North Indian, South Indian, Chinese, Beverages, Fast Food",,,"North Indian,South Indian,Chinese,Beverages,Fast Food",1
Potato House,Uttarahalli,Street Food,,,Street Food,1
Hotel Biriyani Counter,Vijay Nagar,"North Indian, Chinese, Biryani",,,"North Indian,Chinese,Biryani",1
Matru Sagar,Mysore Road,"South Indian, North Indian",,,"South Indian,North Indian",1
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",,,"North Indian,Chinese,Biryani,Andhra,Mangalorean",1
Sri Krishna Sweets,Basavanagudi,"Mithai, Desserts",,,"Mithai,Desserts",1
In Time Cane Juice,Kumaraswamy Layout,"Juices, Beverages",,,"Juices,Beverages",1
Subway,Banashankari,"Salad, Fast Food",,,"Salad,Fast Food",1
Daal Roti,Kumaraswamy Layout,"North Indian, Chinese",,,"North Indian,Chinese",1
The Lassi Park,Jayanagar,"Juices, Desserts",,,"Juices,Desserts",1
Cafe Coffee Day,Jayanagar,"Cafe, Fast Food",,,"Cafe,Fast Food",1
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",,,"South Indian,North Indian,Chinese,Street Food",1
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Green Gardenia,Banashankari,"North Indian, Chinese",,,"North Indian,Chinese",1
J Spice,Banashankari,"North Indian, Chinese",,,"North Indian,Chinese",1
Karavali Family Restaurant,Jayanagar,"Seafood, Biryani, South Indian, North Indian, Chinese",,,"Seafood,Biryani,South Indian,North Indian,Chinese",1
Karavali Lunch Home,Kumaraswamy Layout,"South Indian, Mangalorean",,,"South Indian,Mangalorean",1
Hatti Kaapi,Jayanagar,"South Indian, Beverages",,,"South Indian,Beverages",1
Kolkata Kathi Roll's,Banashankari,"Fast Food, Rolls",,,"Fast Food,Rolls",1
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",,,"North Indian,Chinese,South Indian,Fast Food",1
The Chaat Shop,Basavanagudi,Fast Food,,,Fast Food,1
Anda Ka Funda,Jayanagar,"North Indian, Chinese, Rolls",,,"North Indian,Chinese,Rolls",1
Shri Vinayaka Ice N Juice,Basavanagudi,"Beverages, Fast Food",,,"Beverages,Fast Food",1
Ibaco,Jayanagar,Desserts,,,Desserts,1
Jalaram Sweets,Jayanagar,"Desserts, Mithai",,,"Desserts,Mithai",1
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",,,"North Indian,Chinese,South Indian",1
Bendakaluru Bytes,Vijay Nagar,Fast Food,,,Fast Food,1
Cocoa Bakes,Banashankari,"Bakery, Desserts",,,"Bakery,Desserts",1
Chumma Delicious,Banashankari,"South Indian, Fast Food",,,"South Indian,Fast Food",1
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",,,"Biryani,North Indian,Seafood,Andhra",1
SSV Upahar,Jayanagar,"South Indian, Chinese",,,"South Indian,Chinese",1
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",,,"South Indian,Chinese,Street Food,Juices",1
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",,,"North Indian,Afghani,Mughlai",1
Tanna's Kitchen,Kumaraswamy Layout,"Italian, Chinese, Street Food",,,"Italian,Chinese,Street Food",1
Shree Mandarathi Grand,Uttarahalli,"South Indian, North Indian",,,"South Indian,North Indian",1
Mojo Pizza - 2X Toppings,Banashankari,Pizza,,,Pizza,1
Iceberg Icecreams,Basavanagudi,"Desserts, Ice Cream",,,"Desserts,Ice Cream",1
South Kitchen,Basavanagudi,South Indian,,,South Indian,1
Chung Wah,Jayanagar,"Chinese, Thai, Momos",,,"Chinese,Thai,Momos",1
Shanthi Sagar,Uttarahalli,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Millet Mama,Basavanagudi,"South Indian, Healthy Food",,,"South Indian,Healthy Food",1
Bangarpet Chat Express,Basavanagudi,"Street Food, Fast Food",,,"Street Food,Fast Food",1
South Cool Point,Basavanagudi,Beverages,,,Beverages,1
Prems Graama Bhojanam,Jayanagar,South Indian,,,South Indian,1
Java City,Jayanagar,"Cafe, American, Pizza",,,"Cafe,American,Pizza",1
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",,,"South Indian,Fast Food",1
Puliyogare Point,Basavanagudi,South Indian,,,South Indian,1
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",,,"Street Food,North Indian,South Indian",1
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",,,"North Indian,South Indian,Biryani,Beverages",1
Udupi Ruchi Grand,Banashankari,"South Indian, North Indian, Chinese, Street Food",,,"South Indian,North Indian,Chinese,Street Food",1
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",,,"North Indian,Chinese,Rolls",1
Just Thindi,Basavanagudi,South Indian,,,South Indian,1
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",,,"South Indian,North Indian,Chinese",1
Vasanth Vihar - Since 1965,Banashankari,"South Indian, Street Food",,,"South Indian,Street Food",1
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",,,"Seafood,Biryani,Beverages,South Indian,North Indian,Kebab",1
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",,,"North Indian,Fast Food",1
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",,,"Cafe,Continental,Beverages,Desserts",1
Donne Biriyani combos,Kumaraswamy Layout,Biryani,,,Biryani,1
